country code,country_long,name of powerplant,capacity in MW,latitude,longitude,primary_fuel,secondary fuel,other_fuel2,other_fuel3,start date,owner of plant,generation_gwh_2021,geolocation_source,estimated_generation_gwh_2021
USA,United States of America,Bellevue Solar Project,1.6,45.1122,-123.2347,Solar,,,,2011.0,EDF Renewable Asset Holdings  Inc.,1.694,U.S. Energy Information Administration,2.24
USA,United States of America,Bellows Falls,40.8,43.1375,-72.4464,Hydro,,,,1928.0,Great River Hydro  LLC,255.044,U.S. Energy Information Administration,150.45
USA,United States of America,Bend,1.1,44.0623,-121.3133,Hydro,,,,1916.0,PacifiCorp,1.559,U.S. Energy Information Administration,4.45
USA,United States of America,Benjamin Moore & Co. Solar,1.4,40.8256,-74.7147,Solar,,,,2011.0,Constellation Solar New Jersey  LLC,1.963,U.S. Energy Information Administration,1.94
USA,United States of America,Bennett Creek Windfarm LLC - Mountain Home,21.0,43.0536,-115.4803,Wind,,,,2008.0,Bennett Creek Windfarm LLC,39.824,U.S. Energy Information Administration,64.03
USA,United States of America,Bennetts Bridge,36.0,43.5317,-75.9531,Hydro,,,,1949.0,Erie Boulevard Hydropower LP,104.742,U.S. Energy Information Administration,103.89
USA,United States of America,Bent Tree Wind Farm Phase 1,201.3,43.7246,-93.4504,Wind,,,,2011.0,Wisconsin Power & Light Co,511.479,U.S. Energy Information Administration,793.9
USA,United States of America,Benton County Wind Farm,130.5,40.695,-87.4886,Wind,,,,2008.0,Orion Energy Group LLC,301.6,U.S. Energy Information Administration,359.19
USA,United States of America,Benton Falls Associates,4.2,44.5802,-69.5545,Hydro,,,,1988.0,Essex Hydro Associates LLC,19.535,U.S. Energy Information Administration,15.53
USA,United States of America,Beringer,1.2,38.5108,-122.4797,Solar,,,,2009.0,Perpetual Energy Systems,1.242,U.S. Energy Information Administration,2.35
USA,United States of America,Berkshire 1,1.8,42.1144,-73.4053,Solar,,,,2012.0,PPS Berkshire Solar LLC,2.416,U.S. Energy Information Administration,2.29
USA,United States of America,Berkshire Wind Power Project,19.6,42.5867,-73.275,Wind,,,,2012.877551,Massachusetts Mun Wholes Electric Co,37.859,U.S. Energy Information Administration,42.37
USA,United States of America,Berlin Gorham,30.3,44.3889,-71.1645,Hydro,,,,1925.607261,Great Lakes Hydro America LLC,127.551,U.S. Energy Information Administration,104.82
USA,United States of America,Berrien Springs,7.2,41.9439,-86.3289,Hydro,,,,1996.0,Indiana Michigan Power Co,33.591,U.S. Energy Information Administration,25.34
USA,United States of America,Bidwell Ditch Project,1.8,40.8014,-121.4481,Hydro,,,,1987.0,Mega Renewables,7.583,U.S. Energy Information Administration,5.93
USA,United States of America,Big Bend Dam,538.3,44.0384,-99.4463,Hydro,,,,1965.125023,USACE-Omaha,1525.056,U.S. Energy Information Administration,1501.56
USA,United States of America,Big Cliff,18.0,44.7514,-122.2832,Hydro,,,,1955.0,USACE Northwestern Division,70.106,U.S. Energy Information Administration,61.56
USA,United States of America,Big Creek 1,88.4,37.2042,-119.2396,Hydro,,,,1919.678733,Southern California Edison Co,345.253,U.S. Energy Information Administration,261.83
USA,United States of America,Big Creek 2,66.6,37.2,-119.3069,Hydro,,,,1918.72973,Southern California Edison Co,329.937,U.S. Energy Information Administration,197.26
USA,United States of America,Big Creek 2A,110.0,37.2001,-119.3068,Hydro,,,,1928.5,Southern California Edison Co,505.669,U.S. Energy Information Administration,333.91
USA,United States of America,Big Creek 3,174.5,37.1485,-119.3866,Hydro,,,,1940.080229,Southern California Edison Co,859.281,U.S. Energy Information Administration,527.73
USA,United States of America,Big Creek 4,100.0,37.139,-119.4898,Hydro,,,,1951.0,Southern California Edison Co,513.541,U.S. Energy Information Administration,325.75
USA,United States of America,Big Creek 8,75.0,37.2096,-119.3289,Hydro,,,,1925.8,Southern California Edison Co,283.942,U.S. Energy Information Administration,228.63
USA,United States of America,Big Creek Water Works,5.0,40.6467,-123.498,Hydro,,,,1987.0,Big Creek Water Works Ltd,8.042,U.S. Energy Information Administration,16.17
USA,United States of America,Big Falls,7.7,45.4917,-91.0469,Hydro,,,,1945.051948,Northern States Power Co - Minnesota,32.788,U.S. Energy Information Administration,27.77
